post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
184007042.267-before-the-anschluss,2026-01-09T10:43:23.182Z,true,2026-01-09T10:43:23.361Z,2026-01-09T10:43:23.361Z,newsletter,everyone,267: Before the Anschluss,The Politics of Inevitability Then and Now,
183772833.265-understanding-the-cowardly-and,2026-01-07T10:02:17.600Z,true,2026-01-07T10:02:17.779Z,2026-01-07T10:02:17.779Z,newsletter,everyone,265: Understanding the Cowardly and Craven Canadian,Choosing Obedience Over Opportunity,
183538479.264-the-coup-without-a-coup,2026-01-05T11:47:01.687Z,true,2026-01-05T11:47:01.864Z,2026-01-05T11:47:01.864Z,newsletter,everyone,264: The Coup Without a Coup,How Authority Is Removed in the Age of Hybrid War,
183270148.263-if-youre-reading-this,2026-01-03T10:41:17.558Z,true,2026-01-03T10:41:17.739Z,2026-01-03T10:41:17.739Z,newsletter,everyone,263: If You’re Reading This,Notes from the Knowledge Farm,
183160752.262-the-hidden-ideology-of-the-ai,2026-01-02T11:02:50.365Z,true,2026-01-02T11:02:50.507Z,2026-01-02T11:02:50.507Z,newsletter,everyone,262: The Hidden Ideology of AI,Why Boosters and Doomsters Share the Same Dangerous Assumptions,
183133706.261-when-the-ai-bubble-bursts,2026-01-01T12:30:32.021Z,true,2026-01-01T12:30:32.233Z,2026-01-01T12:30:32.233Z,newsletter,everyone,261: When the AI Bubble Bursts,What Power Looks Like When the Hype Collapses,
182945489.260-brampton-the-slur-that-sums-up,2025-12-30T10:46:20.421Z,true,2025-12-30T10:46:20.579Z,2025-12-30T10:46:20.579Z,newsletter,everyone,260: Brampton: The Slur That Sums Up 2025,The Not So Subtle Sign of Canada's Growing Conflict,
182405002.259-nobody-voted-for-this,2025-12-23T10:27:26.677Z,true,2025-12-23T10:27:26.813Z,2025-12-23T10:27:26.813Z,newsletter,everyone,259: Nobody Voted for This,From governance to soft annexation,
182162388.258-the-soft-annexation-of-the-prairies,2025-12-20T11:55:07.446Z,true,2025-12-20T11:55:07.601Z,2025-12-20T11:55:07.601Z,newsletter,everyone,258: The Soft Annexation of the Prairies,A Crimean Playbook for North America,
182080256.257-scam-capitalism,2025-12-19T12:50:57.043Z,true,2025-12-19T12:50:57.181Z,2025-12-19T12:50:57.181Z,newsletter,everyone,257: Scam Capitalism,How Meta Uses Fraud as a Business Model,
181881092.5fc,,false,,,page,everyone,,,
181880067.256-how-food-power-gets-built,2025-12-17T11:55:10.853Z,true,2025-12-17T11:55:11.021Z,2025-12-17T11:55:11.021Z,newsletter,everyone,256: How Food Power Gets Built,Designing Food Power — Part IV,
181777224.255-the-intelligence-layer-of-food,2025-12-16T11:00:03.028Z,true,2025-12-16T11:00:03.162Z,2025-12-16T11:00:03.162Z,newsletter,everyone,255: The Intelligence Layer of Food Power,Designing Food Power — Part III,
181671576.254-the-hidden-architecture-of-food,2025-12-15T11:29:22.518Z,true,2025-12-15T11:29:22.670Z,2025-12-15T11:29:22.670Z,newsletter,everyone,254: The Hidden Architecture of Food Security,Designing Food Power — Part II,
181581138.253-why-food-should-be-free-and-profitable,2025-12-14T12:05:09.345Z,true,2025-12-14T12:05:09.494Z,2025-12-14T12:05:09.494Z,newsletter,everyone,253: Why Food Should Be Free and Profitable,Designing Food Power — Part I,
181523951.252-the-collapse-of-local-authority,2025-12-13T17:04:58.986Z,true,2025-12-13T17:04:59.161Z,2025-12-13T17:04:59.161Z,newsletter,everyone,252: The Collapse of Local Authority,The Canary in the Rideau Lakes Council Chamber,
181327396.251-the-spectacle-of-wokeness,2025-12-11T12:58:38.016Z,true,2025-12-11T12:58:38.217Z,2025-12-11T12:58:38.217Z,newsletter,everyone,251: The Spectacle of Wokeness,How the Right Built a Bogeyman,
181054441.250-the-curious-case-of-yves-engler,2025-12-08T16:22:52.563Z,true,2025-12-08T16:22:52.728Z,2025-12-08T16:22:52.728Z,newsletter,everyone,250: The Curious Case of Yves Engler,And The Inherent Insularity of Party Politics,
180112300.249-science-and-the-seduction-of,2025-11-27T16:12:11.586Z,true,2025-11-27T16:12:11.706Z,2025-11-27T16:12:11.706Z,newsletter,everyone,249: Science and the Seduction of Authoritarianism,The Capture of Curiosity,
179929343.248-solving-the-productivity-paradox,2025-11-25T15:30:18.502Z,true,2025-11-25T15:30:18.776Z,2025-11-25T15:30:18.776Z,newsletter,everyone,248: Solving the Productivity Paradox,The Missing Variable Is Care,
179636643.247-attention-appetite-and-power,2025-11-22T11:31:48.103Z,true,2025-11-22T11:31:48.259Z,2025-11-22T11:31:48.259Z,newsletter,everyone,"247: Attention, Appetite, and Power",A Country That Doesn’t Understand Its Food Has No Future,
179548707.246-canada-has-no-future-without,2025-11-21T12:04:36.312Z,true,2025-11-21T12:04:36.474Z,2025-11-21T12:04:36.474Z,newsletter,everyone,246: Canada Has No Future Without a New Imagination,The Current Failure of Canadian Leadership,
178341762.245-are-todays-militaries-able-to,2025-11-08T11:17:26.716Z,true,2025-11-08T11:17:26.880Z,2025-11-08T11:17:26.880Z,newsletter,everyone,245: Are Today’s Militaries Able to Fight Today’s Wars?,"Not without new leadership, culture, and structure",
178168618.244-the-prediction-markets-that-ate,2025-11-06T11:18:59.468Z,true,2025-11-06T11:18:59.644Z,2025-11-06T11:18:59.644Z,newsletter,everyone,244: The Prediction Markets That Ate the State,Speculating on When the Society of the Spectacle Crashes,
177991018.243-the-eye-of-the-storm,2025-11-04T15:49:54.838Z,true,2025-11-04T15:49:54.982Z,2025-11-04T15:49:54.982Z,newsletter,everyone,243: The Eye of the Storm,The other shoe is bound to drop sooner rather than later,
177169637.242-the-us-civil-war-of-2025,2025-10-26T12:12:50.012Z,true,2025-10-26T12:12:50.135Z,2025-10-26T12:12:50.135Z,newsletter,everyone,242: The US Civil War of 2025,Understanding Hybrid Civil War,
177000141.241-an-ineffective-police-state,2025-10-24T11:28:12.509Z,true,2025-10-24T11:28:12.666Z,2025-10-24T11:28:12.666Z,newsletter,everyone,241: An Ineffective Police State,"If you're not out of the pot, you're cooked",
175709699.240-meshuga-from-the-meshugaas,2025-10-09T13:22:11.926Z,true,2025-10-09T13:22:12.080Z,2025-10-09T13:22:12.080Z,newsletter,everyone,240: Meshuga from the Meshugaas,The narratives are infectious and irrelevant,
174730193.239-generals-gather-in-their-masses,2025-09-28T10:11:39.534Z,true,2025-09-28T10:11:39.650Z,2025-09-28T10:11:39.650Z,newsletter,everyone,239: Generals Gather in Their Masses,Prelude to a revolution instead of a purge?,
174534332.238-delirious,2025-09-25T14:30:32.422Z,true,2025-09-25T14:30:32.514Z,2025-09-25T14:30:32.514Z,newsletter,everyone,238: Delirious,Succumbing to the Society of the Spectacle,
173514723.237-the-gen-z-assassin,2025-09-13T15:13:01.266Z,true,2025-09-13T15:13:01.341Z,2025-09-13T15:13:01.341Z,newsletter,everyone,237: The Gen Z Assassin,A National Celebration of Political Assassination,
171644725.236-when-the-ai-bubble-bursts,2025-08-22T11:23:58.134Z,true,2025-08-22T11:23:58.234Z,2025-08-22T11:23:58.234Z,newsletter,everyone,236: When the AI Bubble Bursts,A matter of when and not if,
171457698.235-airports-are-borders-borders,2025-08-20T11:13:21.008Z,true,2025-08-20T11:13:21.086Z,2025-08-20T11:13:21.086Z,newsletter,everyone,235: Airports are borders. Borders are prisons.,Part five in an ongoing series on resistance,
171121927.234-the-grid-is-a-prison-until-we,2025-08-16T12:11:34.496Z,true,2025-08-16T12:11:34.598Z,2025-08-16T12:11:34.598Z,newsletter,everyone,234: The grid is a prison until we play its wires like strings,Part four in an ongoing series about resistance,
171043686.233-every-block-has-a-heartbeat,2025-08-15T11:37:47.923Z,true,2025-08-15T11:37:48.008Z,2025-08-15T11:37:48.008Z,newsletter,everyone,233: Every block has a heartbeat,Part three in an ongoing series about resistance,
170963232.232-play-louder-than-the-war-they,2025-08-14T11:13:23.116Z,true,2025-08-14T11:13:23.219Z,2025-08-14T11:13:23.219Z,newsletter,everyone,232: Play louder than the war they bring,Part two in an ongoing series about resistance,
170876840.231-ice-on-campus,2025-08-13T13:37:32.024Z,true,2025-08-13T13:37:32.119Z,2025-08-13T13:37:32.119Z,newsletter,everyone,231: ICE on Campus,Part one in an ongoing series about resistance,
170777611.230-killing-witnesses-and-burying,2025-08-12T11:37:53.096Z,true,2025-08-12T11:37:53.218Z,2025-08-12T11:37:53.218Z,newsletter,everyone,230: Killing Witnesses and Burying History,Anas al-Sharif and the Murderous IDF,
170678452.229-music-festivals-fighting-ice,2025-08-11T11:58:25.616Z,true,2025-08-11T11:58:25.763Z,2025-08-11T11:58:25.763Z,newsletter,everyone,229: Music Festivals Fighting ICE?!,Algo Speak and Grassroots Resistance,
170360371.228-the-power-of-language,2025-08-07T14:39:05.136Z,true,2025-08-07T14:39:05.224Z,2025-08-07T14:39:05.224Z,newsletter,everyone,228: The Power of Language,Another successful salon,
170267922.i-need-your-help,2025-08-06T13:45:53.026Z,true,2025-08-06T13:45:53.116Z,2025-08-06T13:45:53.116Z,newsletter,everyone,I need your help 😎,And a salon reminder,
170166445.227-the-goats-of-toronto,2025-08-05T11:15:23.727Z,true,2025-08-05T11:15:23.831Z,2025-08-05T11:15:23.831Z,newsletter,everyone,227: THE GOATS OF TORONTO 🐐,Municipal Ruminants and the Future of Urban Ecology,
170073709.226-ai-and-the-future-that-never,2025-08-04T11:01:34.848Z,true,2025-08-04T11:01:34.941Z,2025-08-04T11:01:34.941Z,newsletter,everyone,226: AI and The Future That Never Comes,Temporal Capture and The Hypernormalization of Fascism,
169917645.225-lies-bullshit-jobs-and-statistics,2025-08-02T11:09:45.177Z,true,2025-08-02T11:09:45.268Z,2025-08-02T11:09:45.268Z,newsletter,everyone,"225: Lies, Bullshit Jobs, and Statistics",The Bullshit Economy and the AI Takeover,
169846711.224-refusal-in-the-age-of-spectacle,2025-08-01T15:08:36.673Z,true,2025-08-01T15:08:36.773Z,2025-08-01T15:08:36.773Z,newsletter,everyone,224: Refusal in the Age of Spectacle,The Gen-Z Stare and the Collapse of Social Performance,
169738120.223-the-labour-party-is-dead,2025-07-31T10:33:51.576Z,true,2025-07-31T10:33:51.649Z,2025-07-31T10:33:51.649Z,newsletter,everyone,223: The Labour Party is Dead,Centrism will kill us all if it continues,
169390742.222-the-return-of-the-asylum-state,2025-07-28T10:12:29.306Z,true,2025-07-28T10:12:29.412Z,2025-07-28T10:12:29.412Z,newsletter,everyone,222: The Return of the Asylum State,The Weaponization of Psychiatry in the Authoritarian Imagination,
169215819.221-corn-storms-and-climate-denial,2025-07-25T11:14:56.945Z,true,2025-07-25T11:14:57.022Z,2025-07-25T11:14:57.022Z,newsletter,everyone,221: Corn Storms and Climate Denial,"How industrial corn became the authoritarian crop of choice, feeding both fossil fuel expansion and climate collapse.",
169095048.220-trump-epstein-and-ouroboros,2025-07-24T10:16:14.800Z,true,2025-07-24T10:16:14.906Z,2025-07-24T10:16:14.906Z,newsletter,everyone,"220: Trump, Epstein, and Ouroboros",America Devours Itself,
168905480.219-the-engine-of-fascism-is-airborne,2025-07-22T10:10:17.910Z,true,2025-07-22T10:10:18.040Z,2025-07-22T10:10:18.040Z,newsletter,everyone,219: The Engine of Fascism Is Airborne,You Can’t Fight Fascism If You’re Inhaling It,
168849470.218-outlaws-by-design,2025-07-21T11:40:55.750Z,true,2025-07-21T11:40:55.828Z,2025-07-21T11:40:55.828Z,newsletter,everyone,218: Outlaws by Design,In a surveillance society we're all outlaws,
168235192.217-hot-wet-fascist-summer,2025-07-14T10:15:14.709Z,true,2025-07-14T10:15:14.909Z,2025-07-14T10:15:14.909Z,newsletter,everyone,217: Hot Wet Fascist Summer,The virus of violence spreads,
167911005.216-chrysalis-season-2-finale,2025-07-09T14:44:19.630Z,true,2025-07-09T14:44:19.728Z,2025-07-09T14:44:19.728Z,podcast,everyone,216: Chrysalis (Season 2 Finale),Taking the goats to the bridge,
167799922.215-trumps-big-beautiful-bill-and,2025-07-08T10:19:42.095Z,true,2025-07-08T10:19:42.190Z,2025-07-08T10:19:42.190Z,newsletter,everyone,215: Trump’s Big Beautiful Bill and the Prison-Industrial Workforce,Who Needs Immigration When You Have Incarceration?,
167714565.214-sovereignty-is-a-simulation,2025-07-07T11:13:49.097Z,true,2025-07-07T11:13:49.169Z,2025-07-07T11:13:49.169Z,newsletter,everyone,214: Sovereignty Is a Simulation,What the Chinese hack of Russia reveals about the myths modern states still tell themselves,
167510188.213-declaration-of-independence-from,2025-07-04T10:46:08.726Z,true,2025-07-04T10:46:08.825Z,2025-07-04T10:46:08.825Z,newsletter,everyone,213: Declaration of Independence from Whiteness,There is no such thing as race,
167427726.212-can-ai-kill-copyright,2025-07-03T11:23:08.770Z,true,2025-07-03T11:23:08.854Z,2025-07-03T11:23:08.854Z,newsletter,everyone,212: Can AI Kill Copyright?,And what can we do to help?,
167342129.211-the-myth-of-the-echo-chamber,2025-07-02T10:57:47.362Z,true,2025-07-02T10:57:47.458Z,2025-07-02T10:57:47.458Z,newsletter,everyone,211: The Myth of the Echo Chamber,Nobody can echo the signal we put out,
167166376.210-authority-without-archives,2025-06-30T10:58:19.090Z,true,2025-06-30T10:58:19.166Z,2025-06-30T10:58:19.166Z,newsletter,everyone,210: Authority Without Archives,We Built Our Culture on Borrowed Ground,
166965232.209-we-measure-time-with-the-wind,2025-06-27T11:04:43.399Z,true,2025-06-27T11:04:43.517Z,2025-06-27T11:04:43.517Z,newsletter,everyone,209: We Measure Time with the Wind Now,Dispatches from the near future,
166886436.208-the-virtues-we-need,2025-06-26T11:42:00.871Z,true,2025-06-26T11:42:00.947Z,2025-06-26T11:42:00.947Z,newsletter,everyone,208: The Virtues We Need,"Trust, Vulnerability, and the Ministry of Narratives",
166803632.wmds-weather-of-mass-destruction,2025-06-25T12:40:01.319Z,true,2025-06-25T12:40:01.823Z,2025-06-25T12:40:01.823Z,newsletter,everyone,207: WMDs: Weather of Mass Destruction,"Generals gathered in their masses, Just like witches at black masses",
166362744.206-pervasive-asymmetry,2025-06-20T10:17:11.211Z,true,2025-06-20T10:17:11.324Z,2025-06-20T10:17:11.324Z,newsletter,everyone,206: Pervasive Asymmetry,How Inequality Became the Infrastructure of Authority,
166275534.205-the-path-to-power-is-the-soul,2025-06-19T10:14:28.743Z,true,2025-06-19T10:14:28.898Z,2025-06-19T10:14:28.898Z,newsletter,everyone,205: The Path to Power Is the Soul of Democracy,The Pretense of Participation,
166113590.204-the-soft-coup-of-vibe-coding,2025-06-18T10:20:39.689Z,true,2025-06-18T10:20:39.816Z,2025-06-18T10:20:39.816Z,newsletter,everyone,204: The Soft Coup of Vibe Coding,"Hacking systems through interface, intention, and improvisation",
166113189.203-roti-resistance-and-ranked-ballots,2025-06-17T10:20:20.934Z,true,2025-06-17T10:20:21.040Z,2025-06-17T10:20:21.040Z,newsletter,everyone,"203: Roti, Resistance, and Ranked Ballots",A New Deal for New York?,
166053027.202-the-gift-is-the-system,2025-06-16T09:07:23.176Z,true,2025-06-16T09:07:23.368Z,2025-06-16T09:07:23.368Z,newsletter,everyone,202: The Gift Is the System,A Day in the Life of a Care-Based Economy,
165961886.201-the-father-figure-is-a-lie,2025-06-15T10:16:10.453Z,true,2025-06-15T10:16:10.574Z,2025-06-15T10:16:10.574Z,newsletter,everyone,201: The Father Figure Is a Lie,A Dispatch from the Post-Patriarchy,
165828346.200-the-future-will-not-be-measured,2025-06-13T10:21:30.946Z,true,2025-06-13T10:21:31.049Z,2025-06-13T10:21:31.049Z,newsletter,everyone,200: The Future Will Not Be Measured,Rituals of Interdependence for a Post-Market World,
165776323.199-the-abolition-of-economic-value,2025-06-12T10:46:43.885Z,true,2025-06-12T10:46:43.974Z,2025-06-12T10:46:43.974Z,newsletter,everyone,199: The Abolition of Economic Value,Three Dialogues on What Cannot Be Measured,
165696337.198-polite-authoritarianism,2025-06-11T10:47:26.234Z,true,2025-06-11T10:47:26.391Z,2025-06-11T10:47:26.391Z,newsletter,everyone,198: Polite Authoritarianism,"Why Canada’s democracy is being dismantled—politely, legally, and with minimal resistance",
