post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
163465458.177-how-belief-betrays-us,2025-05-13T10:59:50.135Z,true,2025-05-13T10:59:50.246Z,2025-05-13T10:59:50.246Z,newsletter,everyone,177: How Belief Betrays Us,"And Why Being, Belonging, and Becoming Are the Antidotes",
163404965.176-against-the-herd,2025-05-12T15:50:52.571Z,true,2025-05-12T15:50:52.712Z,2025-05-12T15:50:52.712Z,newsletter,everyone,176: Against the Herd,"Gaza, Immigration, and the War on Mutual Aid Disguised as Law",
163201278.175-counter-surveillance-and-survival,2025-05-09T11:40:56.056Z,true,2025-05-09T11:40:56.137Z,2025-05-09T11:40:56.137Z,newsletter,everyone,175: Counter-Surveillance and Survival,Embracing the Practice of Sousveillance,
163093646.174-guerrilla-warfare-upgraded,2025-05-08T10:18:32.303Z,true,2025-05-08T10:18:32.407Z,2025-05-08T10:18:32.407Z,newsletter,everyone,"174: Guerrilla Warfare, Upgraded","How Ukraine is using gamification to reshape military logistics, culture, and combat",
163042654.173-the-rise-of-agentic-government,2025-05-07T10:42:01.529Z,true,2025-05-07T10:42:01.609Z,2025-05-07T10:42:01.609Z,newsletter,everyone,173: The Rise of Agentic Government?,How the Wreckage Becomes the Blueprint,
162932310.172-the-internet-cannot-be-ignored,2025-05-06T10:18:28.157Z,true,2025-05-06T10:18:28.238Z,2025-05-06T10:18:28.238Z,newsletter,everyone,172: The Internet Cannot Be Ignored,Why ignoring digital discourse is ceding the future to chaos.,
162878432.171-how-insularity-fuels-conspiracy,2025-05-05T11:23:26.153Z,true,2025-05-05T11:23:26.226Z,2025-05-05T11:23:26.226Z,newsletter,everyone,"171: How Insularity Fuels Conspiracy, Inequality, and Democratic Decline","Why the right is delusional, the left is irrelevant, and the center is blind.",
162752121.170-how-narcissism-fuels-conspiracies,2025-05-03T11:37:11.469Z,true,2025-05-03T11:37:11.564Z,2025-05-03T11:37:11.564Z,newsletter,everyone,"170: How Narcissism Fuels Conspiracies, Inequality, and Authoritarianism",The narcissistic psyche is the true engine of our political crisis.,
162653828.169-the-death-of-the-ndp,2025-05-02T10:16:20.882Z,true,2025-05-02T10:16:20.989Z,2025-05-02T10:16:20.989Z,newsletter,everyone,169: The Death of the NDP,How a Thousand Self-Inflicted Wounds Took Down Canada's Left,
162577896.168-carney-vs-trump-canada-as-moral,2025-05-01T10:20:27.816Z,true,2025-05-01T10:20:27.906Z,2025-05-01T10:20:27.906Z,newsletter,everyone,168: Carney vs Trump: Canada as Moral Superpower?,"David vs Goliath, 21st Century Edition",
162526247.167-the-kids-are-not-alright,2025-04-30T10:43:24.550Z,true,2025-04-30T10:43:24.658Z,2025-04-30T10:43:24.658Z,newsletter,everyone,167: The Kids Are Not Alright,From Isolation to Insurrection: The Political Vacuum Fueling Gen Z Extremism,
162371177.166-americas-self-inflicted-supply,2025-04-29T10:10:24.115Z,true,2025-04-29T10:10:24.254Z,2025-04-29T10:10:24.254Z,newsletter,everyone,166: America's Self-Inflicted Supply Chain Disaster,Billionaires will feast while the shelves run dry,
162288965.165-why-the-west-has-more-to-fear,2025-04-28T10:19:15.960Z,true,2025-04-28T10:19:16.119Z,2025-04-28T10:19:16.119Z,newsletter,everyone,165: Why the West Has More to Fear at Home Than in China,"Algorithmic Authority Is Already Here, and It Wears a Western Face",
162084206.164-the-algorithmic-gaze-how-autistic,2025-04-25T10:13:37.815Z,true,2025-04-25T10:13:37.890Z,2025-04-25T10:13:37.890Z,newsletter,everyone,164: The Algorithmic Gaze: How Autistic People Are Being Profiled by Algorithms,Toward Neurodivergent Power,
162005774.163-electing-illusions,2025-04-24T10:18:15.228Z,true,2025-04-24T10:18:15.337Z,2025-04-24T10:18:15.337Z,newsletter,everyone,163: Electing Illusions,The Lies We Live and the Lies That Govern,
161930295.162-the-red-corner-montanas-forgotten,2025-04-23T10:19:34.279Z,true,2025-04-23T10:19:34.376Z,2025-04-23T10:19:34.376Z,newsletter,everyone,162: The Red Corner: Montana's Forgotten Revolution,The Revolution Grew in the Fields. Then They Buried It.,
161842091.161-research-as-a-revolutionary-act,2025-04-22T10:10:14.910Z,true,2025-04-22T10:10:15.016Z,2025-04-22T10:10:15.016Z,newsletter,everyone,161: Research as a Revolutionary Act,Building a science that authoritarianism cannot corrupt,
161761062.160-from-each-according-to-their,2025-04-21T10:15:56.098Z,true,2025-04-21T10:15:56.198Z,2025-04-21T10:15:56.198Z,newsletter,everyone,160: From Each According to Their Ability,To Each According to Their Needs,
161691753.159-electoral-authoritarianism-and,2025-04-20T10:10:24.747Z,true,2025-04-20T10:10:24.854Z,2025-04-20T10:10:24.854Z,newsletter,everyone,159: Electoral Authoritarianism and the Border Emergency,Democracy as Spectacle,
161502243.158-the-tyranny-of-the-selfishly,2025-04-17T10:18:48.957Z,true,2025-04-17T10:18:49.096Z,2025-04-17T10:18:49.096Z,newsletter,everyone,158: The Tyranny of the Selfishly Wealthy,Reclaiming the Commons is the Fight of our Time,
161451698.157-extreme-discombobulation,2025-04-16T11:00:36.445Z,true,2025-04-16T11:00:36.528Z,2025-04-16T11:00:36.528Z,newsletter,everyone,157: Extreme Discombobulation,Stop Imagining the Apocalypse and Start Manifesting the Revolution,
161347634.156-tiktok-and-big-tech-are-undermining,2025-04-15T10:10:47.752Z,true,2025-04-15T10:10:47.828Z,2025-04-15T10:10:47.828Z,newsletter,everyone,156: TikTok and Big Tech Are Undermining Trump's Trade War,Fragments of a Hidden Empire,
161264674.155-reprogramming-sovereignty,2025-04-14T10:18:38.003Z,true,2025-04-14T10:18:38.112Z,2025-04-14T10:18:38.112Z,newsletter,everyone,155: Reprogramming Sovereignty ,Hacker Democracy Meets Indigenous Resurgence,
161236433.154-iykyk-and-idk-so-wtf,2025-04-13T15:39:24.384Z,true,2025-04-13T15:39:24.457Z,2025-04-13T15:39:24.457Z,newsletter,everyone,154: IYKYK & IDK so WTF!,If you know you know and I don't know so what the fuck!,
161063121.153-the-future-is-a-food-co-op,2025-04-11T10:17:58.842Z,true,2025-04-11T10:17:58.988Z,2025-04-11T10:17:58.988Z,newsletter,everyone,153: The Future is a Food Co-op,"Solidarity, Sovereignty, and Sustenance",
160981128.152-the-resurgent-commons,2025-04-10T10:20:42.442Z,true,2025-04-10T10:20:42.524Z,2025-04-10T10:20:42.524Z,newsletter,everyone,152: The Resurgent Commons,Imagining A More Human Centered Travel Experience,
160905595.151-the-end-of-the-public,2025-04-09T10:13:50.551Z,true,2025-04-09T10:13:51.815Z,2025-04-09T10:13:51.815Z,newsletter,everyone,151: The End of the Public,From Collapse to Commons,
160781993.150-fire-in-the-north,2025-04-08T10:19:46.242Z,true,2025-04-08T10:19:46.401Z,2025-04-08T10:19:46.401Z,newsletter,everyone,150: Fire in the North,The Continental Emergency Part Three: The Insurgency Begins,
160770475.149-the-end-of-intellectual-property,2025-04-07T10:42:31.896Z,true,2025-04-07T10:42:31.969Z,2025-04-07T10:42:31.969Z,newsletter,everyone,149: The End of Intellectual Property?!,How the Trade War Could Unleash Open Innovation,
160699590.148-the-americanization-of-canadian,2025-04-06T11:10:37.490Z,true,2025-04-06T11:10:37.560Z,2025-04-06T11:10:37.560Z,newsletter,everyone,148: The Americanization of Canadian Minds,The US Cultural Annexation of Canada,
160614632.147-the-purge-at-fort-meade,2025-04-05T10:10:34.945Z,true,2025-04-05T10:10:35.055Z,2025-04-05T10:10:35.055Z,newsletter,everyone,147: The Purge at Fort Meade,"Loyalty, Surveillance, and the End of Intelligence",
160540085.146-free-aubrey-cottle,2025-04-04T10:10:39.942Z,true,2025-04-04T10:10:40.073Z,2025-04-04T10:10:40.073Z,newsletter,everyone,146: Free Aubrey Cottle!,Hacktivism Is Civil Disobedience,
160134860.145-civilization-vii-and-the-struggle,2025-03-31T10:21:10.810Z,true,2025-03-31T10:21:10.944Z,2025-03-31T10:21:10.944Z,newsletter,everyone,145: Civilization VII and the Struggle Against Authoritarianism,A Sandbox for the Future of Authority,
160134088.144-adolescence-and-the-failure-of,2025-03-30T10:17:46.833Z,true,2025-03-30T10:17:46.939Z,2025-03-30T10:17:46.939Z,newsletter,everyone,144: Adolescence and the Failure of Grown-Ups,The System Isn’t Broken—It’s Working as Designed,
160052840.143-trump-trade-and-intimate-partner,2025-03-29T10:10:51.934Z,true,2025-03-29T10:10:52.105Z,2025-03-29T10:10:52.105Z,newsletter,everyone,"143: Trump, Trade, and Intimate Partner Violence","""If I can't have you...""",
160032746.142-disappeared-and-bought-the-new,2025-03-28T10:15:49.085Z,true,2025-03-28T10:15:49.183Z,2025-03-28T10:15:49.183Z,newsletter,everyone,142: Disappeared and Bought: The New American Justice,Criminalizing Dissent and Buying Judges in Wisconsin,
159955018.141-occupied-but-not-conquered,2025-03-27T10:18:43.736Z,true,2025-03-27T10:18:43.849Z,2025-03-27T10:18:43.849Z,newsletter,everyone,141: Occupied but Not Conquered,The Continental Emergency Part 2: an ongoing choose your own adventure series,
159873062.140-rule-of-law-for-thee-not-for,2025-03-26T10:17:55.344Z,true,2025-03-26T10:17:55.499Z,2025-03-26T10:17:55.499Z,newsletter,everyone,"140: Rule of Law for Thee, Not for Me",The architecture of authoritarianism is being assembled in public view,
159790227.139-the-great-labour-shortage-of,2025-03-25T10:20:40.205Z,true,2025-03-25T10:20:40.395Z,2025-03-25T10:20:40.395Z,newsletter,everyone,139: The Great Labour Shortage of 2025,Nebraska is FAFO,
159691606.138-when-the-power-goes-out,2025-03-24T10:16:48.515Z,true,2025-03-24T10:16:48.616Z,2025-03-24T10:16:48.616Z,newsletter,everyone,138: When The Power Goes Out,How the Invasion Might Begin,
159587366.137-seeing-through-the-lies,2025-03-22T10:12:48.274Z,true,2025-03-22T10:12:48.380Z,2025-03-22T10:12:48.380Z,newsletter,everyone,137: Seeing Through the Lies,Why Deception in Politics Is More Dangerous Than Ever,
159541191.136-teslas-fall-and-musks-future,2025-03-21T11:12:25.000Z,true,2025-03-21T11:12:25.077Z,2025-03-21T11:12:25.077Z,newsletter,everyone,136: Tesla's Fall and Musk's Future,A Focal Point for protests,
159368175.canadas-future-as-a-hacker-democracy,2025-03-19T10:19:41.910Z,true,2025-03-19T10:19:42.177Z,2025-03-19T10:19:42.177Z,newsletter,everyone,135: Canada's Future as a Hacker Democracy,An Ecology of Mind for the 21st Century,
159298044.134-trumps-war-on-law-media-and-academia,2025-03-18T10:08:11.651Z,true,2025-03-18T10:08:11.757Z,2025-03-18T10:08:11.757Z,newsletter,everyone,"134: Trump’s War on Law, Media, and Academia",The Authoritarian Era Begins,
159199634.133-truth-as-negotiated-meaning-wittgenstein,2025-03-17T10:18:48.138Z,true,2025-03-17T10:18:48.260Z,2025-03-17T10:18:48.260Z,newsletter,everyone,133: Truth as Negotiated Meaning: Wittgenstein and Trumpian Fascism,Language is a Virus,
159165473.132-the-lies-and-false-promises-of,2025-03-16T10:20:41.769Z,true,2025-03-16T10:20:43.068Z,2025-03-16T10:20:43.068Z,newsletter,everyone,132: The Lies and False Promises of (Neo)Liberalism,Why the Status-Quo Sucks,
159099530.131-anti-elitism-is-the-rational,2025-03-15T10:15:27.128Z,true,2025-03-15T10:15:27.243Z,2025-03-15T10:15:27.243Z,newsletter,everyone,131: Anti-Elitism is the Rational Response to a Broken System,The Expert Trap,
159028233.130-the-alien-enemies-act-and-authoritarianism,2025-03-14T10:20:49.764Z,true,2025-03-14T10:20:49.929Z,2025-03-14T10:20:49.929Z,newsletter,everyone,130: The Alien Enemies Act and Authoritarianism,From Policy to Persecution: How the U.S. is Criminalizing Non-Citizens,
158960860.129-agroecology-at-the-academy-of,2025-03-13T10:20:55.487Z,true,2025-03-13T10:20:55.583Z,2025-03-13T10:20:55.583Z,newsletter,everyone,129: Agroecology at the Academy of the Impossible,Agroecology and the Blueprint for a New World,
158884308.the-end-of-the-public,2025-03-12T10:20:49.564Z,true,2025-03-12T10:20:49.659Z,2025-03-12T10:20:49.659Z,newsletter,everyone,128: The End of the Public?,"Fragmentation, Authority, and the Crisis of Meaning",
158804242.127-the-end-of-the-five-eyes,2025-03-11T10:11:42.587Z,true,2025-03-11T10:11:42.712Z,2025-03-11T10:11:42.712Z,newsletter,everyone,127: The End of the Five Eyes,OSINT is the Future,
158731543.126-the-weaponization-of-stupidity,2025-03-10T10:12:46.263Z,true,2025-03-10T10:12:46.383Z,2025-03-10T10:12:46.383Z,newsletter,everyone,126: The Weaponization of Stupidity,And the Myth of the Political Center,
158625829.125-is-trump-poised-to-invoke-the,2025-03-08T11:13:31.155Z,true,2025-03-08T11:13:31.265Z,2025-03-08T11:13:31.265Z,newsletter,everyone,125: Is Trump Poised to Invoke the Insurrection Act?,And the case of Jessica Brösche,
158550820.124-why-fascism-rejects-abstract,2025-03-07T11:15:46.323Z,true,2025-03-07T11:15:46.507Z,2025-03-07T11:15:46.507Z,newsletter,everyone,124: Why Fascism Rejects Abstract Thought,They Fear Flexible Identities,
158483085.123-the-perils-of-automated-justice,2025-03-06T11:12:40.463Z,true,2025-03-06T11:12:40.553Z,2025-03-06T11:12:40.553Z,newsletter,everyone,123: The Perils of Automated Justice,The Fallacy of AI-Based Policing,
158393722.122-elbows-up-trumps-media-war-against,2025-03-05T11:15:33.157Z,true,2025-03-05T11:15:33.237Z,2025-03-05T11:15:33.237Z,newsletter,everyone,122: Elbows Up: Responding to Trump's Media War,The Battle for Narrative Control,
158335050.121-crypto-corruption-fbi-purges,2025-03-04T11:16:42.056Z,true,2025-03-04T11:16:42.164Z,2025-03-04T11:16:42.164Z,newsletter,everyone,"121: Crypto Corruption, FBI Purges, and Economic Warfare",A Storm of Power Plays in 48 Hours,
158230143.120-when-ice-threats-spark-revolt,2025-03-03T11:19:47.947Z,true,2025-03-03T11:19:48.047Z,2025-03-03T11:19:48.047Z,newsletter,everyone,120: Boston Fights Back,When ICE Threats Spark Revolt,
158117653.119-how-canada-can-win-against-trump,2025-03-01T11:20:47.299Z,true,2025-03-01T11:20:47.463Z,2025-03-01T11:20:47.463Z,newsletter,everyone,119: How Canada Can Win Against Trump,On The Eve of a New Global Disorder,
158072683.118-the-performative-spectacle-of,2025-02-28T11:18:54.671Z,true,2025-02-28T11:18:54.755Z,2025-02-28T11:18:54.755Z,newsletter,everyone,118: The Performative Spectacle of the Epstein Files,The Deep State Embraces Conspiracy Culture,
158003320.117-metapolitics-memes-movements,2025-02-27T11:20:52.774Z,true,2025-02-27T11:20:52.879Z,2025-02-27T11:20:52.879Z,newsletter,everyone,"117: Metapolitics: Memes, Movements, and Power",Culture as the Engine of Power and Change,
157927985.116-watching-watched-and-walking,2025-02-26T11:16:39.937Z,true,2025-02-26T11:16:40.082Z,2025-02-26T11:16:40.082Z,newsletter,everyone,"116: Watching, Watched, and Walking Away","Canada’s Five Eyes Dilemma, SpaceX’s Spy Grid, and the Snowbird Sell-Off",
157850932.115-the-fort-knox-stunt-fabricating,2025-02-25T11:18:52.078Z,true,2025-02-25T11:18:52.177Z,2025-02-25T11:18:52.177Z,newsletter,everyone,115: The Fort Knox Stunt: Fabricating a Crisis to Elevate Bitcoin,Manufacturing a Crisis: How the Regime is Paving the Way for Bitcoin,
157776354.114-trumps-military-purge,2025-02-24T11:17:48.801Z,true,2025-02-24T11:17:49.054Z,2025-02-24T11:17:49.054Z,newsletter,everyone,114: Trump’s Military Purge,Consolidating Command for Domestic Deployment,
157710001.113-lazarus-group-hacking-for-the,2025-02-23T11:24:36.213Z,true,2025-02-23T11:24:36.297Z,2025-02-23T11:24:36.297Z,newsletter,everyone,113: Lazarus Group: Hacking for the Regime,How North Korea’s Elite Hackers Stole $1.5 Billion,
157678919.112-is-this-the-end-of-canada,2025-02-22T14:24:22.585Z,true,2025-02-22T14:24:22.669Z,2025-02-22T14:24:22.669Z,newsletter,everyone,112: Is This The End of Canada?,Do we even see the battlefield for what it is?,
157585740.111-the-politics-of-othering-how,2025-02-21T11:20:57.804Z,true,2025-02-21T11:20:57.878Z,2025-02-21T11:20:57.878Z,newsletter,everyone,111: The Politics of Othering: How the Far Right Justifies Oppression,The Unacceptable Danger of Dehumanization,
157510054.110-the-power-of-pattern-recognition,2025-02-20T11:20:46.571Z,true,2025-02-20T11:20:46.681Z,2025-02-20T11:20:46.681Z,newsletter,everyone,110: The Power of Pattern Recognition: Neurodivergence and AI,A Force Against Fascism,
157428240.109-rojava-and-the-revolutionary,2025-02-19T11:21:01.887Z,true,2025-02-19T11:21:02.205Z,2025-02-19T11:21:02.205Z,newsletter,everyone,109: Rojava and the Revolutionary Experiment in Democracy,The Laboratory of Liberation,
157359356.108-milei-memecoins-and-the-future,2025-02-18T11:22:52.903Z,true,2025-02-18T11:22:53.002Z,2025-02-18T11:22:53.002Z,newsletter,everyone,"108: Milei, Memecoins, and the Future of Political Graft",Argentina's Cryptocurrency Crisis,
157290032.107-the-media-manufactured-normal,2025-02-17T11:20:51.758Z,true,2025-02-17T11:20:51.928Z,2025-02-17T11:20:51.928Z,newsletter,everyone,107: The Media Manufactured Normal,How Corporate Media Enforces Conformity,
157223852.106-the-tyranny-of-normal,2025-02-16T11:19:46.879Z,true,2025-02-16T11:19:46.988Z,2025-02-16T11:19:46.988Z,newsletter,everyone,106: The Tyranny of Normal,How the Illusion of Conformity Sustains Oppression,
157186815.105-are-we-about-to-be-fuct,2025-02-15T11:24:50.297Z,true,2025-02-15T11:24:50.520Z,2025-02-15T11:24:50.520Z,newsletter,everyone,105: Are We About to Be FUCT?,A Libertarian Fever Dream Meets AI-Driven Governance,
157111269.104-why-canada-is-a-threat-to-trumps,2025-02-14T11:19:38.898Z,true,2025-02-14T11:19:39.094Z,2025-02-14T11:19:39.094Z,newsletter,everyone,104: Why Canada is a Threat to Trump’s America,"TESCREAL, Empire, and Resistance",
157026644.103-the-centre-is-collapsing,2025-02-13T11:23:46.117Z,true,2025-02-13T11:23:46.272Z,2025-02-13T11:23:46.272Z,newsletter,everyone,103: The Centre is Collapsing,Possessive Individualism and the Crisis of Liberalism,
156952555.102-maybe-the-revolution-was-televised,2025-02-12T11:19:55.407Z,true,2025-02-12T11:19:55.539Z,2025-02-12T11:19:55.539Z,newsletter,everyone,102: Maybe The Revolution Was Televised?!,Kendrick Lamar’s Magnificent Halftime Manifesto,
156893493.101-the-back-door-state-who-really,2025-02-11T11:24:52.008Z,true,2025-02-11T11:24:52.269Z,2025-02-11T11:24:52.269Z,newsletter,everyone,101: The Back Door State: Who Really Controls Digital Infrastructure?,The Rise of the Hacker Class in Government,
156807704.100-who-rules-the-future,2025-02-10T11:23:42.753Z,true,2025-02-10T11:23:42.887Z,2025-02-10T11:23:42.887Z,newsletter,everyone,100: Who Rules the Future?,A Metaview of Authority in the 21st Century,
156726209.99-broligarchs-and-accelerationists,2025-02-08T10:59:42.990Z,true,2025-02-08T10:59:43.061Z,2025-02-08T10:59:43.061Z,newsletter,everyone,99: Broligarchs and Accelerationists: How the New Right is Dismantling Democracy,Emerging Ideologies At the End of Liberal Democracy,
156640520.98-manufacturing-consent-managing,2025-02-07T11:17:51.799Z,true,2025-02-07T11:17:51.906Z,2025-02-07T11:17:51.906Z,newsletter,everyone,98: Manufacturing Consent & Managing Voters: The New Corporate Politics,The Iron Law in the Age of Oligarchy,
156568275.97-trump-gaza-and-the-rule-of-law,2025-02-06T11:19:37.287Z,true,2025-02-06T11:19:37.529Z,2025-02-06T11:19:37.529Z,newsletter,everyone,"97: Trump, Gaza, and the Rule of Law",The Collapse of the Post-WWII Order?,
156485865.96-will-the-fbi-and-ic-fight-back,2025-02-05T11:20:27.752Z,true,2025-02-05T11:20:27.871Z,2025-02-05T11:20:27.871Z,newsletter,everyone,96: Will the FBI and IC fight back?,Rule of Money vs the Rule of Law,
156426172.95-the-power-of-vulnerability-and,2025-02-04T11:12:53.082Z,true,2025-02-04T11:12:53.241Z,2025-02-04T11:12:53.241Z,newsletter,everyone,95: The Power of Vulnerability and the Fight for Justice,"Trans Rights, Community, and Solidarity",
156332314.94-trump-coup-part-2-crypto-replaces,2025-02-03T11:16:40.848Z,true,2025-02-03T11:16:40.965Z,2025-02-03T11:16:40.965Z,newsletter,everyone,94: Trump Coup Part 2: Crypto Replaces the Dollar,The Broligarchs Love Bitcoin,
156272353.93-tariffs-are-a-painful-decoy-what,2025-02-02T11:12:55.885Z,true,2025-02-02T11:12:55.995Z,2025-02-02T11:12:55.995Z,newsletter,everyone,"93: Tariffs Are a Painful Decoy, What We're Witnessing Is a Coup",Move Fast and Break Things At Scale,
156206865.police-in-schools-and-cute-winter,2025-02-01T11:15:47.175Z,true,2025-02-01T11:15:47.261Z,2025-02-01T11:15:47.261Z,newsletter,everyone,92: Police in Schools & Cute Winter Boots,Key Indicators of Rising Authoritarianism,
156138082.91-kash-patel-and-cointelpro-20,2025-01-31T11:15:47.899Z,true,2025-01-31T11:15:47.985Z,2025-01-31T11:15:47.985Z,newsletter,everyone,91: Kash Patel and COINTELPRO 2.0,The Consequences of a Culture of Distrust,
156051687.90-the-trump-regime-begins-not-populist,2025-01-30T11:24:39.590Z,true,2025-01-30T11:24:39.661Z,2025-01-30T11:24:39.661Z,newsletter,everyone,"90: The Trump Regime Begins: Not Populist, But Fascist",Resistance is Not Futile,
155968207.89-the-declining-authority-of-medical,2025-01-29T11:21:47.179Z,true,2025-01-29T11:21:47.295Z,2025-01-29T11:21:47.295Z,newsletter,everyone,89: The Declining Authority of Medical Science,RFK Jr is A Danger to Democracy,
155878817.farm-labor-prison-labor-and-food,2025-01-28T11:25:51.325Z,true,2025-01-28T11:25:51.568Z,2025-01-28T11:25:51.568Z,newsletter,everyone,"88: Farm Labor, Prison Labor, and Food Insecurity",Let's Not FAFO With Our Food,
155790917.87-the-ai-cold-war-accelerates,2025-01-27T11:20:43.031Z,true,2025-01-27T11:20:43.133Z,2025-01-27T11:20:43.133Z,newsletter,everyone,87: The AI Cold War Accelerates,DeepSeek Disrupts the US Plan for Digital Dominance,
155656710.86-radio-podcasting-and-the-rise,2025-01-25T11:23:04.405Z,true,2025-01-25T11:23:05.644Z,2025-01-25T11:23:05.644Z,newsletter,everyone,"86: Radio, Podcasting, and the Rise of Fascism",Revisiting Marshall McLuhan's Understanding Media from 1964,
155580466.85-the-power-of-pardons-and-the-rise,2025-01-24T11:18:11.758Z,true,2025-01-24T11:18:11.854Z,2025-01-24T11:18:11.854Z,newsletter,everyone,85: The Power of Pardons and the Rise of Parallel Authority,Building Power Beyond the State,
155487398.the-illusion-economy-ais-unfulfilled,2025-01-23T11:16:45.685Z,true,2025-01-23T11:16:45.763Z,2025-01-23T11:16:45.763Z,newsletter,everyone,84: The Illusion Economy: AI's Unfulfilled Promises and the Price We Pay,The AI Debt Spiral: Is It Too Late to Escape the Hype Cycle?,
155385114.83-ai-nationalism,2025-01-22T11:20:38.505Z,true,2025-01-22T11:20:38.599Z,2025-01-22T11:20:38.599Z,newsletter,everyone,83: AI Nationalism,The Trojan Horse Driving The Fascist Resurgence,
155293283.82-why-social-media-needs-socialization,2025-01-21T11:19:05.414Z,true,2025-01-21T11:19:05.490Z,2025-01-21T11:19:05.490Z,newsletter,everyone,82: Why Social Media Needs Socialization,We Gotta Long Way To Go Before We're Done,
155200100.81-the-sucks-to-be-you-society,2025-01-20T10:44:46.303Z,true,2025-01-20T10:44:46.387Z,2025-01-20T10:44:46.387Z,newsletter,everyone,"81: The ""Sucks To Be You"" Society",The $TRUMP era begins,
155122698.a-history-of-the-media-collective,,false,,,newsletter,only_paid,,,
155120750.80-a-rare-moment-of-synthesis,2025-01-19T11:25:36.003Z,true,2025-01-19T11:25:36.094Z,2025-01-19T11:25:36.094Z,newsletter,everyone,80: A Rare Moment of Synthesis,The Dialectic Resets,
154985565.79-you-cant-fight-fascism-from-behind,2025-01-17T11:21:45.304Z,true,2025-01-17T11:21:45.397Z,2025-01-17T11:21:45.397Z,newsletter,everyone,79: You Can't Fight Fascism from Behind a Paywall,AI is Killing History,
154922620.the-ai-hype-machine-starmer-altman,2025-01-16T11:19:47.609Z,true,2025-01-16T11:19:47.714Z,2025-01-16T11:19:47.714Z,newsletter,everyone,"78: Keir Starmer, Sam Altman, and the Militarization of AI",A Gift to the Far Right,
154860119.77-crypto-authoritarianism-cambodias,2025-01-15T11:25:36.587Z,true,2025-01-15T11:25:36.686Z,2025-01-15T11:25:36.686Z,newsletter,everyone,77: Crypto Authoritarianism: Cambodia's Blueprint for Power,And Fun Times on Rednote,
154793051.76-mutual-aid-in-la-and-free-our,2025-01-14T11:11:42.309Z,true,2025-01-14T11:11:42.462Z,2025-01-14T11:11:42.462Z,newsletter,everyone,76: Mutual Aid in LA & Free Our Feeds,Goodbye to My Chinese Spy,
154694326.75-all-bets-are-off,2025-01-13T11:18:45.764Z,true,2025-01-13T11:18:45.899Z,2025-01-13T11:18:45.899Z,newsletter,everyone,75: All Bets Are Off,Everybody Knows the Fight is Fixed,
154648708.74-end-days-for-tiktok-in-north-america,2025-01-12T11:12:28.680Z,true,2025-01-12T11:12:28.794Z,2025-01-12T11:12:28.794Z,newsletter,everyone,74: End Days for TikTok in North America?,Narrative Control as National Security Part 1,
154571315.73-the-metabolic-rift-and-los-angeles,2025-01-11T11:32:44.841Z,true,2025-01-11T11:32:44.958Z,2025-01-11T11:32:44.958Z,newsletter,everyone,73: The Metabolic Rift and Los Angeles in Flames,,
154497797.72-the-rise-of-the-rug-pull-economy,2025-01-10T11:23:46.384Z,true,2025-01-10T11:23:46.535Z,2025-01-10T11:23:46.535Z,newsletter,everyone,72: The Rise of the Rug Pull Economy,,
154361231.70-serbia-rings-in-new-year-with,2025-01-08T11:14:52.598Z,true,2025-01-08T11:14:52.680Z,2025-01-08T11:14:52.680Z,newsletter,everyone,70: Serbia Rings in New Year with Mass Protests,When a collapsing canopy causes a regime to collapse,
154333164.70-disability-as-a-mass-movement,2025-01-09T11:24:41.848Z,true,2025-01-09T11:24:41.935Z,2025-01-09T11:24:41.935Z,newsletter,everyone,71: Disability as a Mass Movement,Why are criminal suspects consistently othered as disabled?,
154232438.69-small-towns-under-siege,2025-01-07T11:24:34.965Z,true,2025-01-07T11:24:35.094Z,2025-01-07T11:24:35.094Z,newsletter,everyone,69: Small Towns Under Siege,The Quiet Storm in Local Communities,
154166816.68-will-gta-vi-reinvent-capitalism,2025-01-06T11:13:39.835Z,true,2025-01-06T11:13:39.922Z,2025-01-06T11:13:39.922Z,newsletter,everyone,68: Will GTA VI Reinvent Capitalism?!,The Game That Could Reshape Pop Culture and Economics,
154149275.67-the-perfect-storm-north-americas,2025-01-05T11:28:30.621Z,true,2025-01-05T11:28:30.723Z,2025-01-05T11:28:30.723Z,newsletter,everyone,67: The Perfect Storm: North America’s Public Health Crisis,Quaddemic Sets the Stage for H5N1,
154108817.think-like-a-hacker-embracing-curiosity,2025-01-04T11:26:36.130Z,true,2025-01-04T11:26:36.216Z,2025-01-04T11:26:36.216Z,newsletter,everyone,66: Think Like A Hacker: Embracing Curiosity and Skepticism,Leading in the Age of AI Requires a Hacker’s Mindset,
153906408.65-radical-demands-in-a-polycrisis,2025-01-03T11:30:47.385Z,true,2025-01-03T11:30:47.477Z,2025-01-03T11:30:47.477Z,newsletter,everyone,65: Radical Demands in a Polycrisis,Power Concedes Nothing Without a Demand.,
153811028.the-fallacy-of-natures-casino,2025-01-02T11:28:41.467Z,true,2025-01-02T11:28:41.561Z,2025-01-02T11:28:41.561Z,newsletter,everyone,64: The Fallacy of Nature’s Casino,Paradox and Peril in the Insurance Industry ,
153809482.amazon-and-ai-in-2025-slow-steady,2025-01-01T11:26:57.856Z,true,2025-01-01T11:26:57.953Z,2025-01-01T11:26:57.953Z,newsletter,everyone,"63: Amazon and AI in 2025: Slow, Steady, and Dominant",The Tortoise Set to Win the Race,
